sample,treatment
102_T_S9,Acropora
104_T_S25,Acropora
108_T_S41,Acropora
112_T_S57,Acropora
113_T_S73,Acropora
1C1_S7,Pocillopora
2C1_S1,Pocillopora
3C5_S23,Pocillopora
4C0_S22,Pocillopora
5C5_S27,Pocillopora
Fisces_S19_CHOR_2_S64,Corallivore
Fisces_S19_CHOR_6_S80,Corallivore
Fisces_S19_CHRE_1_S24,Corallivore
Fisces_S19_CHRE_2_S32,Corallivore
Fisces_S19_CHRE_3_S40,Corallivore
Fisces_S19_CHRE_5_S48,Corallivore
JC4_T_S5,Acropora
KC4_T_S21,Acropora
YC4_T_S53,Acropora
